,Invoice Date,TRY Price,TRY-USD fx rate
299,2021-10-27,98,9.512577
300,2021-10-28,147,9.535265
301,2021-10-29,124,9.608
302,2021-10-30,141,9.608
303,2021-10-31,123,9.591967
304,2021-11-01,136,9.5456
305,2021-11-02,126,9.605795
306,2021-11-03,133,9.6446
307,2021-11-04,123,9.704175
308,2021-11-05,143,9.6911
309,2021-11-06,115,9.6911
310,2021-11-07,132,9.7139
311,2021-11-08,136,9.69302
312,2021-11-09,104,9.7322
313,2021-11-10,122,9.8481
314,2021-11-11,126,9.929035
315,2021-11-12,145,9.986405
316,2021-11-13,126,9.986405
317,2021-11-14,131,10.03261
318,2021-11-15,107,10.06494
319,2021-11-16,127,10.3472
320,2021-11-17,124,10.7545
321,2021-11-18,102,11.068515
322,2021-11-19,121,11.2312
323,2021-11-20,127,11.2312
324,2021-11-21,128,11.153185
325,2021-11-22,136,11.4111
326,2021-11-23,128,12.80833
327,2021-11-24,159,11.919
328,2021-11-25,129,11.9893
329,2021-11-26,119,12.4253
330,2021-11-27,134,12.4253
331,2021-11-28,119,12.378954
332,2021-11-29,120,12.746599
333,2021-11-30,120,13.5065
334,2021-12-01,131,13.433188
335,2021-12-02,94,13.7191
336,2021-12-03,133,13.7027
337,2021-12-04,145,13.7027
338,2021-12-05,119,13.69275
339,2021-12-06,136,13.816128
340,2021-12-07,132,13.5255
341,2021-12-08,129,13.66513
342,2021-12-09,117,13.7787
343,2021-12-10,118,13.8801
344,2021-12-11,140,13.8801
345,2021-12-12,115,13.86633
346,2021-12-13,111,13.827105
347,2021-12-14,141,14.3828
348,2021-12-15,134,14.8187
349,2021-12-16,141,15.686685
350,2021-12-17,111,16.42414
351,2021-12-18,104,16.42414
352,2021-12-19,135,16.6682
353,2021-12-20,135,13.4809
354,2021-12-21,124,12.353865
355,2021-12-22,117,12.0373
356,2021-12-23,133,11.432452
357,2021-12-24,105,10.69521
358,2021-12-25,132,10.69521
359,2021-12-26,131,10.906427
360,2021-12-27,114,11.632675
361,2021-12-28,125,11.85365
362,2021-12-29,133,12.6453
363,2021-12-30,119,13.2955
364,2021-12-31,127,13.3211
365,2022-01-01,101,13.3211
366,2022-01-02,124,13.453154
367,2022-01-03,109,13.062
368,2022-01-04,129,13.4165
369,2022-01-05,122,13.693
370,2022-01-06,127,13.7871
371,2022-01-07,137,13.875
372,2022-01-08,110,13.8745
373,2022-01-09,121,13.799667
374,2022-01-10,141,13.814
375,2022-01-11,144,13.7655
376,2022-01-12,138,13.2447
377,2022-01-13,122,13.568863
378,2022-01-14,130,13.5264
379,2022-01-15,106,13.5264
380,2022-01-16,93,13.520234
381,2022-01-17,116,13.4581
382,2022-01-18,136,13.5521
383,2022-01-19,139,13.430465
384,2022-01-20,120,13.36
385,2022-01-21,126,13.4481
386,2022-01-22,131,13.4481
387,2022-01-23,117,13.444165
388,2022-01-24,127,13.4703
389,2022-01-25,137,13.4797
390,2022-01-26,121,13.5825
391,2022-01-27,102,13.6226
392,2022-01-28,145,13.5532
393,2022-01-29,137,13.5532
394,2022-01-30,119,13.515
395,2022-01-31,120,13.3008
396,2022-02-01,117,13.383
397,2022-02-02,128,13.4706
398,2022-02-03,115,13.5712
399,2022-02-04,114,13.5687
400,2022-02-05,143,13.5687
401,2022-02-06,117,13.564714
402,2022-02-07,117,13.595267
403,2022-02-08,113,13.58253
404,2022-02-09,118,13.5485
405,2022-02-10,140,13.4969
406,2022-02-11,120,13.5201
407,2022-02-12,129,13.5201
408,2022-02-13,138,13.522675
409,2022-02-14,126,13.5958
410,2022-02-15,126,13.6075
411,2022-02-16,109,13.595455
412,2022-02-17,119,13.532067
413,2022-02-18,146,13.65
414,2022-02-19,123,13.65
415,2022-02-20,120,13.625417
416,2022-02-21,124,13.676885
417,2022-02-22,122,13.8061
418,2022-02-23,128,13.8255
419,2022-02-24,130,14.042625
420,2022-02-25,131,13.8238
421,2022-02-26,121,13.8238
422,2022-02-27,102,14.072485
423,2022-02-28,111,13.841155
424,2022-03-01,129,13.892575
425,2022-03-02,116,13.999
426,2022-03-03,121,14.1127
427,2022-03-04,125,14.1865
428,2022-03-05,128,14.1865
429,2022-03-06,150,14.262888
430,2022-03-07,121,14.3775
431,2022-03-08,134,14.4969
432,2022-03-09,119,14.654494
433,2022-03-10,140,14.8439
434,2022-03-11,119,14.7645
435,2022-03-12,128,14.7645
436,2022-03-13,117,14.78144
437,2022-03-14,136,14.8102
438,2022-03-15,113,14.733215
439,2022-03-16,116,14.601493
440,2022-03-17,125,14.714365
441,2022-03-18,102,14.8091
442,2022-03-19,135,14.8091
443,2022-03-20,121,14.816955
444,2022-03-21,137,14.8276
445,2022-03-22,138,14.8233
446,2022-03-23,128,14.829271
447,2022-03-24,146,14.8397
448,2022-03-25,147,14.8358
449,2022-03-26,130,14.8357
450,2022-03-27,130,14.8325
451,2022-03-28,128,14.8259
452,2022-03-29,104,14.5878
453,2022-03-30,135,14.654586
454,2022-03-31,129,14.6591
455,2022-04-01,110,14.6865
456,2022-04-02,118,14.6865
457,2022-04-03,127,14.68615
458,2022-04-04,121,14.6978
459,2022-04-05,111,14.7229
460,2022-04-06,133,14.7133
461,2022-04-07,134,14.7587
462,2022-04-08,134,14.7491
463,2022-04-09,109,14.7491
464,2022-04-10,121,14.7447
465,2022-04-11,141,14.666539
466,2022-04-12,140,14.5886
467,2022-04-13,125,14.5956
468,2022-04-14,126,14.626992
469,2022-04-15,113,14.6437
470,2022-04-16,120,14.6437
471,2022-04-17,106,14.626
472,2022-04-18,127,14.6462
473,2022-04-19,135,14.6549
474,2022-04-20,116,14.66845
475,2022-04-21,143,14.707262
476,2022-04-22,123,14.7427
477,2022-04-23,139,14.7427
478,2022-04-24,137,14.7564
479,2022-04-25,138,14.77707
480,2022-04-26,113,14.8049
481,2022-04-27,123,14.815278
482,2022-04-28,120,14.799475
483,2022-04-29,118,14.8517
484,2022-04-30,142,14.8517
485,2022-05-01,129,14.86
486,2022-05-02,125,14.8904
487,2022-05-03,120,14.818954
488,2022-05-04,129,14.74123
489,2022-05-05,119,14.872464
490,2022-05-06,140,14.945
491,2022-05-07,121,14.945
492,2022-05-08,110,14.95215
493,2022-05-09,120,15.1071
494,2022-05-10,117,15.32771
495,2022-05-11,140,15.2924
496,2022-05-12,131,15.4119
497,2022-05-13,105,15.4799
498,2022-05-14,105,15.4799
499,2022-05-15,124,15.48434
500,2022-05-16,148,15.6053
501,2022-05-17,136,15.921516
502,2022-05-18,118,15.9604
503,2022-05-19,126,15.9153
504,2022-05-20,129,15.9038
505,2022-05-21,112,15.9038
506,2022-05-22,131,15.934494
507,2022-05-23,109,15.937
508,2022-05-24,141,16.1006
509,2022-05-25,117,16.353
510,2022-05-26,118,16.3659
511,2022-05-27,103,16.218
512,2022-05-28,140,16.218
513,2022-05-29,121,16.3386
514,2022-05-30,138,16.3884
515,2022-05-31,127,16.400101
516,2022-06-01,132,16.4408
517,2022-06-02,124,16.4877
518,2022-06-03,149,16.4176
519,2022-06-04,125,16.4176
520,2022-06-05,130,16.508624
521,2022-06-06,108,16.613901
522,2022-06-07,131,16.8417
523,2022-06-08,140,17.19252
524,2022-06-09,150,17.2444
525,2022-06-10,122,17.1158
526,2022-06-11,107,17.1158
527,2022-06-12,124,17.2376
528,2022-06-13,116,17.2744
529,2022-06-14,117,17.2686
530,2022-06-15,121,17.2355
531,2022-06-16,109,17.3011
532,2022-06-17,143,17.3284
533,2022-06-18,127,17.3284
534,2022-06-19,110,17.3417
535,2022-06-20,138,17.31519
536,2022-06-21,133,17.34975
537,2022-06-22,125,17.344305
538,2022-06-23,122,17.3507
539,2022-06-24,126,16.89798
540,2022-06-25,123,16.89798
541,2022-06-26,119,16.674
542,2022-06-27,125,16.5687
543,2022-06-28,125,16.6293
544,2022-06-29,134,16.60501
545,2022-06-30,143,16.6974
546,2022-07-01,141,16.74751
547,2022-07-02,115,16.74751
548,2022-07-03,121,16.7654
549,2022-07-04,135,16.8011
550,2022-07-05,125,17.0085
551,2022-07-06,124,17.2173
552,2022-07-07,116,17.2637
553,2022-07-08,136,17.2733
554,2022-07-09,110,17.2733
555,2022-07-10,121,17.2766
556,2022-07-11,131,17.3498
557,2022-07-12,128,17.2857
558,2022-07-13,118,17.416199
559,2022-07-14,125,17.4694
560,2022-07-15,127,17.4
561,2022-07-16,144,17.4
562,2022-07-17,121,17.3448
563,2022-07-18,119,17.465
564,2022-07-19,123,17.5491
565,2022-07-20,115,17.6026
566,2022-07-21,117,17.7302
567,2022-07-22,109,17.75945
568,2022-07-23,123,17.7415
569,2022-07-24,133,17.7623
570,2022-07-25,155,17.8343
571,2022-07-26,123,17.877699
572,2022-07-27,127,17.865061
573,2022-07-28,125,17.9495
574,2022-07-29,117,17.9148
575,2022-07-30,126,17.9148
576,2022-07-31,143,17.9281
577,2022-08-01,116,17.898
578,2022-08-02,123,17.945299
579,2022-08-03,124,17.937401
580,2022-08-04,132,17.9468
581,2022-08-05,136,17.9126
582,2022-08-06,124,17.9126
583,2022-08-07,132,17.9286
584,2022-08-08,145,17.943017
585,2022-08-09,126,17.918085
586,2022-08-10,130,17.87413
587,2022-08-11,116,17.9541
588,2022-08-12,123,17.9363
589,2022-08-13,137,17.9363
590,2022-08-14,143,17.9439
591,2022-08-15,123,17.9587
592,2022-08-16,122,17.937
593,2022-08-17,125,17.950104
594,2022-08-18,125,18.0814
595,2022-08-19,127,18.108913
596,2022-08-20,117,18.108913
597,2022-08-21,118,18.095979
598,2022-08-22,133,18.105499
599,2022-08-23,134,18.117
600,2022-08-24,121,18.1528
601,2022-08-25,121,18.173301
602,2022-08-26,137,18.1629
603,2022-08-27,117,18.1629
604,2022-08-28,119,18.1783
605,2022-08-29,123,18.187988
606,2022-08-30,128,18.1783
607,2022-08-31,115,18.197895
608,2022-09-01,104,18.210443
609,2022-09-02,117,18.2008
610,2022-09-03,112,18.2008
611,2022-09-04,116,18.2237
612,2022-09-05,129,18.217687
613,2022-09-06,130,18.2297
614,2022-09-07,124,18.22518
615,2022-09-08,108,18.2435
616,2022-09-09,138,18.232
617,2022-09-10,116,18.232
618,2022-09-11,124,18.221605
619,2022-09-12,122,18.2278
620,2022-09-13,119,18.2537
621,2022-09-14,120,18.24579
622,2022-09-15,138,18.28088
623,2022-09-16,121,18.2555
624,2022-09-17,127,18.2555
625,2022-09-18,123,18.2659
626,2022-09-19,125,18.2982
627,2022-09-20,135,18.319055
628,2022-09-21,128,18.3389
629,2022-09-22,125,18.34
630,2022-09-23,124,18.4157
631,2022-09-24,113,18.4157
632,2022-09-25,143,18.4413
633,2022-09-26,129,18.451425
634,2022-09-27,124,18.4551
635,2022-09-28,129,18.5267
636,2022-09-29,103,18.5017
637,2022-09-30,117,18.502
638,2022-10-01,126,18.502
639,2022-10-02,130,18.5161
640,2022-10-03,130,18.5284
641,2022-10-04,106,18.581
642,2022-10-05,119,18.574501
643,2022-10-06,124,18.5799
644,2022-10-07,110,18.5821
645,2022-10-08,121,18.5821
646,2022-10-09,142,18.5846
647,2022-10-10,126,18.5892
648,2022-10-11,120,18.589288
649,2022-10-12,135,18.5558
650,2022-10-13,136,18.55274
651,2022-10-14,140,18.5741
652,2022-10-15,139,18.5741
653,2022-10-16,115,18.588599
654,2022-10-17,127,18.576199
655,2022-10-18,98,18.585635
656,2022-10-19,130,18.598301
657,2022-10-20,107,18.5908
658,2022-10-21,145,18.5965
659,2022-10-22,116,18.5965
660,2022-10-23,155,18.596601
661,2022-10-24,125,18.6036
662,2022-10-25,124,18.582095
663,2022-10-26,119,18.6125
664,2022-10-27,121,18.6121
665,2022-10-28,121,18.577
666,2022-10-29,110,18.577
667,2022-10-30,105,18.619762
668,2022-10-31,126,18.624457
669,2022-11-01,147,18.633332
670,2022-11-02,128,18.625134
671,2022-11-03,135,18.62068
672,2022-11-04,126,18.566999
673,2022-11-05,107,18.568499
674,2022-11-06,127,18.605552
675,2022-11-07,118,18.470595
676,2022-11-08,142,18.5455
677,2022-11-09,136,18.602853
678,2022-11-10,141,18.5057
679,2022-11-11,121,18.5744
680,2022-11-12,129,18.5744
681,2022-11-13,129,18.55572
682,2022-11-14,121,18.5899
683,2022-11-15,121,18.6127
684,2022-11-16,122,18.6171
685,2022-11-17,122,18.602249
686,2022-11-18,126,18.6213
687,2022-11-19,112,18.6213
688,2022-11-20,125,18.61568
689,2022-11-21,144,18.6056
690,2022-11-22,114,18.6171
691,2022-11-23,117,18.614
692,2022-11-24,128,18.6318
693,2022-11-25,113,18.6168
694,2022-11-26,108,18.6168
695,2022-11-27,130,18.62504
696,2022-11-28,132,18.6235
697,2022-11-29,129,18.6449
698,2022-11-30,115,18.634999
699,2022-12-01,146,18.635795
700,2022-12-02,121,18.633901
701,2022-12-03,147,18.633001
702,2022-12-04,116,18.6357
703,2022-12-05,135,18.6299
704,2022-12-06,128,18.6316
705,2022-12-07,119,18.64092
706,2022-12-08,103,18.6458
707,2022-12-09,120,18.6511
708,2022-12-10,143,18.6511
709,2022-12-11,131,18.639385
710,2022-12-12,106,18.6223
711,2022-12-13,116,18.6215
712,2022-12-14,106,18.6314
713,2022-12-15,115,18.653001
714,2022-12-16,109,18.6394
715,2022-12-17,115,18.6393
716,2022-12-18,134,18.639594
717,2022-12-19,132,18.649933
718,2022-12-20,132,18.658538
719,2022-12-21,122,18.665623
720,2022-12-22,131,18.67958
721,2022-12-23,131,18.665699
722,2022-12-24,122,18.665699
723,2022-12-25,130,18.65554
724,2022-12-26,103,18.662
725,2022-12-27,118,18.664
726,2022-12-28,99,18.71051
727,2022-12-29,131,18.713887
728,2022-12-30,125,18.6858
729,2022-12-31,113,18.6858
730,2023-01-01,145,18.691295
731,2023-01-02,130,18.746493
732,2023-01-03,131,18.734
733,2023-01-04,124,18.74685
734,2023-01-05,149,18.7721
735,2023-01-06,137,18.7544
736,2023-01-07,151,18.7544
737,2023-01-08,116,18.775945
738,2023-01-09,129,18.7635
739,2023-01-10,120,18.792915
740,2023-01-11,112,18.779315
741,2023-01-12,121,18.784603
742,2023-01-13,125,18.8015
743,2023-01-14,113,18.8035
744,2023-01-15,126,18.78647
745,2023-01-16,127,18.780799
746,2023-01-17,120,18.78027
747,2023-01-18,129,18.782967
748,2023-01-19,136,18.7977
749,2023-01-20,128,18.757899
750,2023-01-21,118,18.757899
751,2023-01-22,114,18.812032
752,2023-01-23,126,18.767345
753,2023-01-24,111,18.806185
754,2023-01-25,127,18.807499
755,2023-01-26,124,18.812499
756,2023-01-27,132,18.8094
757,2023-01-28,123,18.811
758,2023-01-29,127,18.812601
759,2023-01-30,129,18.813
760,2023-01-31,126,18.8129
761,2023-02-01,133,18.819003
762,2023-02-02,141,18.8182
763,2023-02-03,111,18.8199
764,2023-02-04,133,18.823599
765,2023-02-05,125,18.83341
766,2023-02-06,123,18.8353
767,2023-02-07,120,18.837399
768,2023-02-08,135,18.837445
769,2023-02-09,134,18.83512
770,2023-02-10,120,18.8279
771,2023-02-11,121,18.824201
772,2023-02-12,129,18.83491
773,2023-02-13,138,18.842512
774,2023-02-14,133,18.8471
775,2023-02-15,126,18.854
776,2023-02-16,123,18.869718
777,2023-02-17,132,18.8289
778,2023-02-18,137,18.8289
779,2023-02-19,117,18.86244
780,2023-02-20,138,18.87056
781,2023-02-21,143,18.8677
782,2023-02-22,122,18.8802
783,2023-02-23,134,18.8734
784,2023-02-24,136,18.8744
785,2023-02-25,120,18.874401
786,2023-02-26,156,18.887755
787,2023-02-27,125,18.8857
788,2023-02-28,123,18.885945
789,2023-03-01,106,18.889133
790,2023-03-02,114,18.88959
791,2023-03-03,130,18.824301
792,2023-03-04,138,18.824301
793,2023-03-05,122,18.911169
794,2023-03-06,129,18.89605
795,2023-03-07,112,18.9231
796,2023-03-08,119,18.94708
